curve_ID,originaltraitname,originaltraitunit,originaltraitvalue,standardisedtraitname,standardardisedtraitunit,standardisedtraitvalue,interactor1,habitat,common,ambienttemp,ambienttempunit,interactor2,stressor,stage,doi,citation,figuretable,mismatch
15,Juvenile Development Time,days,24,Juvenile Development Rate,1/days,0.0417,Rhopalosiphum maidis,terrestrial,aphid,10,celcius,NA,NA,juvenile,10.1303/aez.2006.171,"Kuo, M.H. 2006. Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphummaidis(Homoptera: Aphididae) on corn in Taiwan. Appl. Entomol. Zool. 41 (1): 171–177.",Table 1,yes
15,Juvenile Development Time,days,12.9,Juvenile Development Rate,1/days,0.0775,Rhopalosiphum maidis,terrestrial,aphid,15,celcius,NA,NA,juvenile,10.1303/aez.2006.171,"Kuo, M.H. 2006. Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphummaidis(Homoptera: Aphididae) on corn in Taiwan. Appl. Entomol. Zool. 41 (1): 171–177.",Table 1,yes
15,Juvenile Development Time,days,7.6,Juvenile Development Rate,1/days,0.1316,Rhopalosiphum maidis,terrestrial,aphid,20,celcius,NA,NA,juvenile,10.1303/aez.2006.171,"Kuo, M.H. 2006. Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphummaidis(Homoptera: Aphididae) on corn in Taiwan. Appl. Entomol. Zool. 41 (1): 171–177.",Table 1,yes
15,Juvenile Development Time,days,5.7,Juvenile Development Rate,1/days,0.1754,Rhopalosiphum maidis,terrestrial,aphid,25,celcius,NA,NA,juvenile,10.1303/aez.2006.171,"Kuo, M.H. 2006. Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphummaidis(Homoptera: Aphididae) on corn in Taiwan. Appl. Entomol. Zool. 41 (1): 171–177.",Table 1,yes
15,Juvenile Development Time,days,5.2,Juvenile Development Rate,1/days,0.1923,Rhopalosiphum maidis,terrestrial,aphid,30,celcius,NA,NA,juvenile,10.1303/aez.2006.171,"Kuo, M.H. 2006. Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphummaidis(Homoptera: Aphididae) on corn in Taiwan. Appl. Entomol. Zool. 41 (1): 171–177.",Table 1,yes
1,Female Survival Time,days,32.8667,Female Mortality Rate,1/days,0.0304,Aedes aegypti,terrestrial,mosquito,25.64,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
1,Female Survival Time,days,36.9104,Female Mortality Rate,1/days,0.0271,Aedes aegypti,terrestrial,mosquito,27.64,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
1,Female Survival Time,days,22.7736,Female Mortality Rate,1/days,0.0439,Aedes aegypti,terrestrial,mosquito,31.33,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
1,Female Survival Time,days,29.2626,Female Mortality Rate,1/days,0.0342,Aedes aegypti,terrestrial,mosquito,31.65,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
1,Female Survival Time,days,22.5304,Female Mortality Rate,1/days,0.0444,Aedes aegypti,terrestrial,mosquito,32.55,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
1,Female Survival Time,days,20.0698,Female Mortality Rate,1/days,0.0498,Aedes aegypti,terrestrial,mosquito,33.41,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
2,Longevity,days,39.45,Female Mortality Rate,1/days,0.0253,Aedes albopictus,terrestrial,mosquito,15,celcius,NA,NA,adult,10.1590/S0085-56262002000100011,"Calado, D.C. & Navarro-Silva M. A. Influência da temperatura sobre a longevidade, fecundidade eatividade hematofágica de Aedes (Stegomyia) albopictus Skuse,1894 (Diptera, Culicidae) sob condições de laboratório. Revista Brasileira de Entomologia  46(1):  93-98; 2002",Tables 1 & 3,yes
15,Juvenile Development Time,days,8,Juvenile Development Rate,1/days,0.125,Rhopalosiphum maidis,terrestrial,aphid,35,celcius,NA,NA,juvenile,10.1303/aez.2006.171,"Kuo, M.H. 2006. Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphummaidis(Homoptera: Aphididae) on corn in Taiwan. Appl. Entomol. Zool. 41 (1): 171–177.",Table 1,yes
12,Immature development time,days,130.1,Juvenile Development Rate,1/days,0.0077,Muscidifurax zaraptor,terrestrial,parasitoid wasp,15,celcius,NA,NA,juvenile,10.1603/0046-225X-30.1.147,"Lysyk, T.J. 2001. Relationships Between Temperature and Life History Parameters ofMuscidifurax zaraptor(Hymenoptera: Pteromalidae). Environ. Entomol. 30(1): 147–156",Table 1,yes
12,Immature development time,days,33.2,Juvenile Development Rate,1/days,0.0301,Muscidifurax zaraptor,terrestrial,parasitoid wasp,20,celcius,NA,NA,juvenile,10.1603/0046-225X-30.1.147,"Lysyk, T.J. 2001. Relationships Between Temperature and Life History Parameters ofMuscidifurax zaraptor(Hymenoptera: Pteromalidae). Environ. Entomol. 30(1): 147–156",Table 1,yes
12,Immature development time,days,18.3,Juvenile Development Rate,1/days,0.0546,Muscidifurax zaraptor,terrestrial,parasitoid wasp,25,celcius,NA,NA,juvenile,10.1603/0046-225X-30.1.147,"Lysyk, T.J. 2001. Relationships Between Temperature and Life History Parameters ofMuscidifurax zaraptor(Hymenoptera: Pteromalidae). Environ. Entomol. 30(1): 147–156",Table 1,yes
12,Immature development time,days,13.9,Juvenile Development Rate,1/days,0.0719,Muscidifurax zaraptor,terrestrial,parasitoid wasp,30,celcius,NA,NA,juvenile,10.1603/0046-225X-30.1.147,"Lysyk, T.J. 2001. Relationships Between Temperature and Life History Parameters ofMuscidifurax zaraptor(Hymenoptera: Pteromalidae). Environ. Entomol. 30(1): 147–156",Table 1,yes
12,Immature development time,days,14.2,Juvenile Development Rate,1/days,0.0704,Muscidifurax zaraptor,terrestrial,parasitoid wasp,33,celcius,NA,NA,juvenile,10.1603/0046-225X-30.1.147,"Lysyk, T.J. 2001. Relationships Between Temperature and Life History Parameters ofMuscidifurax zaraptor(Hymenoptera: Pteromalidae). Environ. Entomol. 30(1): 147–156",Table 1,yes
7,Juvenile Development Time,days,33.9,Juvenile Development Rate,1/days,0.0295,Aphis nasturtii,terrestrial,aphid,10,celcius,NA,NA,juvenile, https://doi.org/10.1093/aesa/90.1.62,"Wang et al. 1997. Influence of Temperature on Development, Survivorship, and Reproduction of Buckthorn Aphid (Homoptera: Aphididae). Ann. Entomol.  Soc. Am. 90(1): 62-68",Table 1,yes
7,Juvenile Development Time,days,16.1,Juvenile Development Rate,1/days,0.0621,Aphis nasturtii,terrestrial,aphid,15,celcius,NA,NA,juvenile, https://doi.org/10.1093/aesa/90.1.62,"Wang et al. 1997. Influence of Temperature on Development, Survivorship, and Reproduction of Buckthorn Aphid (Homoptera: Aphididae). Ann. Entomol.  Soc. Am. 90(1): 62-68",Table 1,yes
7,Juvenile Development Time,days,10,Juvenile Development Rate,1/days,0.1,Aphis nasturtii,terrestrial,aphid,20,celcius,NA,NA,juvenile, https://doi.org/10.1093/aesa/90.1.62,"Wang et al. 1997. Influence of Temperature on Development, Survivorship, and Reproduction of Buckthorn Aphid (Homoptera: Aphididae). Ann. Entomol.  Soc. Am. 90(1): 62-68",Table 1,yes
7,Juvenile Development Time,days,7.8,Juvenile Development Rate,1/days,0.1282,Aphis nasturtii,terrestrial,aphid,25,celcius,NA,NA,juvenile, https://doi.org/10.1093/aesa/90.1.62,"Wang et al. 1997. Influence of Temperature on Development, Survivorship, and Reproduction of Buckthorn Aphid (Homoptera: Aphididae). Ann. Entomol.  Soc. Am. 90(1): 62-68",Table 1,yes
7,Juvenile Development Time,days,6,Juvenile Development Rate,1/days,0.1667,Aphis nasturtii,terrestrial,aphid,27,celcius,NA,NA,juvenile, https://doi.org/10.1093/aesa/90.1.62,"Wang et al. 1997. Influence of Temperature on Development, Survivorship, and Reproduction of Buckthorn Aphid (Homoptera: Aphididae). Ann. Entomol.  Soc. Am. 90(1): 62-68",Table 1,yes
7,Juvenile Development Time,days,5.7,Juvenile Development Rate,1/days,0.1754,Aphis nasturtii,terrestrial,aphid,30,celcius,NA,NA,juvenile, https://doi.org/10.1093/aesa/90.1.62,"Wang et al. 1997. Influence of Temperature on Development, Survivorship, and Reproduction of Buckthorn Aphid (Homoptera: Aphididae). Ann. Entomol.  Soc. Am. 90(1): 62-68",Table 1,yes
7,Juvenile Development Time,days,6.6,Juvenile Development Rate,1/days,0.1515,Aphis nasturtii,terrestrial,aphid,35,celcius,NA,NA,juvenile, https://doi.org/10.1093/aesa/90.1.62,"Wang et al. 1997. Influence of Temperature on Development, Survivorship, and Reproduction of Buckthorn Aphid (Homoptera: Aphididae). Ann. Entomol.  Soc. Am. 90(1): 62-68",Table 1,yes
1,Transition rate,1/days,0,Juvenile Development Rate,1/days,0,Aedes aegypti,aquatic,mosquito,10,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0,Juvenile Development Rate,1/days,0,Aedes aegypti,aquatic,mosquito,10.41,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.016,Juvenile Development Rate,1/days,0.016,Aedes aegypti,aquatic,mosquito,14.74,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.0252,Juvenile Development Rate,1/days,0.0252,Aedes aegypti,aquatic,mosquito,14.84,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.0119,Juvenile Development Rate,1/days,0.0119,Aedes aegypti,aquatic,mosquito,14.92,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.0665,Juvenile Development Rate,1/days,0.0665,Aedes aegypti,aquatic,mosquito,18.86,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.062,Juvenile Development Rate,1/days,0.062,Aedes aegypti,aquatic,mosquito,19.04,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.0606,Juvenile Development Rate,1/days,0.0606,Aedes aegypti,aquatic,mosquito,19.18,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.1,Juvenile Development Rate,1/days,0.1,Aedes aegypti,aquatic,mosquito,26.56,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.109,Juvenile Development Rate,1/days,0.109,Aedes aegypti,aquatic,mosquito,26.84,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.1198,Juvenile Development Rate,1/days,0.1198,Aedes aegypti,aquatic,mosquito,26.85,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.1585,Juvenile Development Rate,1/days,0.1585,Aedes aegypti,aquatic,mosquito,30.83,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.1352,Juvenile Development Rate,1/days,0.1352,Aedes aegypti,aquatic,mosquito,31.61,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.196,Juvenile Development Rate,1/days,0.196,Aedes aegypti,aquatic,mosquito,34.95,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
1,Transition rate,1/days,0.1232,Juvenile Development Rate,1/days,0.1232,Aedes aegypti,aquatic,mosquito,36.47,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
2,Longevity,days,91.4,Female Mortality Rate,1/days,0.0109,Aedes albopictus,terrestrial,mosquito,20,celcius,NA,NA,adult,10.1590/S0085-56262002000100011,"Calado, D.C. & Navarro-Silva M. A. Influência da temperatura sobre a longevidade, fecundidade eatividade hematofágica de Aedes (Stegomyia) albopictus Skuse,1894 (Diptera, Culicidae) sob condições de laboratório. Revista Brasileira de Entomologia  46(1):  93-98; 2002",Tables 1 & 3,yes
2,Longevity,days,73.95,Female Mortality Rate,1/days,0.0135,Aedes albopictus,terrestrial,mosquito,25,celcius,NA,NA,adult,10.1590/S0085-56262002000100011,"Calado, D.C. & Navarro-Silva M. A. Influência da temperatura sobre a longevidade, fecundidade eatividade hematofágica de Aedes (Stegomyia) albopictus Skuse,1894 (Diptera, Culicidae) sob condições de laboratório. Revista Brasileira de Entomologia  46(1):  93-98; 2002",Tables 1 & 3,yes
2,Longevity,days,50.65,Female Mortality Rate,1/days,0.0197,Aedes albopictus,terrestrial,mosquito,30,celcius,NA,NA,adult,10.1590/S0085-56262002000100011,"Calado, D.C. & Navarro-Silva M. A. Influência da temperatura sobre a longevidade, fecundidade eatividade hematofágica de Aedes (Stegomyia) albopictus Skuse,1894 (Diptera, Culicidae) sob condições de laboratório. Revista Brasileira de Entomologia  46(1):  93-98; 2002",Tables 1 & 3,yes
2,Mortality Rate,per capita per day,0.0087,Female Mortality Rate,per capita per day,0.0087,Aedes albopictus,terrestrial,mosquito,22,celcius,NA,NA,adult,10.1603/0022-2585-38.4.548,"Alto, B & Juliano, S. Temperature Effects on the Dynamics of Aedes albopictus (Diptera: Culicidae) Populations in the Laboratory. J. Med. Entomol. 38(4): 548–556 (2001)",Table 2,yes
2,Mortality Rate,per capita per day,0.0114,Female Mortality Rate,per capita per day,0.0114,Aedes albopictus,terrestrial,mosquito,24,celcius,NA,NA,adult,10.1603/0022-2585-38.4.548,"Alto, B & Juliano, S. Temperature Effects on the Dynamics of Aedes albopictus (Diptera: Culicidae) Populations in the Laboratory. J. Med. Entomol. 38(4): 548–556 (2001)",Table 2,yes
2,Mortality Rate,per capita per day,0.0124,Female Mortality Rate,per capita per day,0.0124,Aedes albopictus,terrestrial,mosquito,26,celcius,NA,NA,adult,10.1603/0022-2585-38.4.548,"Alto, B & Juliano, S. Temperature Effects on the Dynamics of Aedes albopictus (Diptera: Culicidae) Populations in the Laboratory. J. Med. Entomol. 38(4): 548–556 (2001)",Table 2,yes
3,Female Longevity,days,4,Female Mortality Rate,per capita per day,0.25,Aedes krombeini,terrestrial,mosquito,14,celcius,NA,NA,adult,10.1016/0306-4565(95)00035-12,"Joshi, D.S. Effect of fluctuating and constant temperatures on development, adult longevity and fecundity in the mosquito Aedes krombeini. J. therm. Biol. 3, 151-154 1996",Table 1,yes
3,Female Longevity,days,23,Female Mortality Rate,per capita per day,0.0435,Aedes krombeini,terrestrial,mosquito,18,celcius,NA,NA,adult,10.1016/0306-4565(95)00035-12,"Joshi, D.S. Effect of fluctuating and constant temperatures on development, adult longevity and fecundity in the mosquito Aedes krombeini. J. therm. Biol. 3, 151-154 1996",Table 1,yes
